country,Year,success,attackType,targetTypeTitle,targetType,targetSubtype,terroristGroup,numberKilled,numberWounded
Germany             ,1994,1,Assault                       ,TargetType,Business                      ,Tourism                                           ,Neo-Nazi extremists                               ,0,0
Greece              ,1994,1,Assault                       ,TargetType,Government                    ,Embassy                                           ,Unknown                                           ,0,0
Spain               ,1994,1,Bombing/Explosion             ,TargetType,Business                      ,Bank                                              ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1994,1,Bombing/Explosion             ,TargetType,Transportation                ,Train                                             ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Business                      ,Retail                                            ,Ulster Volunteer Force (UVF)                      ,1,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Police                        ,Police Personnel                              ,Irish Republican Army (IRA)                       ,1,0
Greece              ,1994,1,Bombing/Explosion             ,TargetType,Business                      ,Corporation                                       ,Revolutionary People's Struggle (ELA)             ,0,0
Luxembourg          ,1994,1,Bombing/Explosion             ,TargetType,Business                      ,Bank                                              ,Unknown                                           ,0,0
France              ,1994,1,Unknown                       ,TargetType,Citizens & Property  ,Monument                                          ,Unknown                                           ,0,0
France              ,1994,1,Unknown                       ,TargetType,Citizens & Property  ,Monument                                          ,Unknown                                           ,0,0
Germany             ,1994,0,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Neo-Nazi extremists                               ,0,1
France              ,1994,0,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,Corsican National Liberation Front         ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Corsican National Liberation Front         ,0,0
Greece              ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Organization                                      ,Revolutionary People's Struggle (ELA)             ,0,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,2,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,1,0
Greece              ,1994,1,Bombing/Explosion             ,TargetType,Business                      ,Corporation                                       ,Revolutionary People's Struggle (ELA)             ,0,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Ulster Freedom Fighters (UFF)                     ,1,0
United Kingdom      ,1994,1,Assault                       ,TargetType,Business                      ,Retail                                            ,Irish National Liberation Army (INLA)             ,1,1
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Ulster Freedom Fighters (UFF)                     ,1,0
France              ,1994,1,Unknown                       ,TargetType,Police                        ,Police Personnel                              ,Youths                                            ,0,1
Spain               ,1994,1,Assassination                 ,TargetType,Police                        ,Police Personnel                              ,Basque Fatherland and Freedom (ETA)               ,1,0
United Kingdom      ,1994,1,Assault                       ,TargetType,Business                      ,Retail                                            ,Protestant extremists                             ,1,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Ulster Volunteer Force (UVF)                      ,1,0
Germany             ,1994,1,Assault                       ,TargetType,Business                      ,Tourism                                           ,Neo-Nazi extremists                               ,0,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Terrorists                    ,Unknown                                           ,Irish Republican Army (IRA)                       ,1,0
Germany             ,1994,0,Assassination                 ,TargetType,Government                    ,Government Institutions                                        ,Kurdistan Workers' Party (PKK)                    ,0,1
Germany             ,1994,1,Assault                       ,TargetType,Government                    ,Government Institutions                                        ,Neo-Nazi extremists                               ,0,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Irish National Liberation Army (INLA)             ,1,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Business                      ,Entertainment                                     ,Corsican Separatists                              ,0,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Police                        ,Police Personnel                              ,Unknown                                           ,0,1
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Protestant extremists                             ,0,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Ulster Volunteer Force (UVF)                      ,1,0
France              ,1994,1,UnAssault                     ,TargetType,Business                      ,Tourism                                           ,Unknown                                           ,0,0
France              ,1994,1,Unknown                       ,TargetType,Police                        ,Police Organizations                                            ,Unknown                                           ,0,0
France              ,1994,1,Assault                       ,TargetType,Business                      ,Retail                                            ,Unknown                                           ,0,0
Spain               ,1994,1,Bombing/Explosion             ,TargetType,Business                      ,Corporation                                       ,Basque Fatherland and Freedom (ETA)               ,0,0
Spain               ,1994,1,Bombing/Explosion             ,TargetType,Business                      ,Bank                                              ,Basque Fatherland and Freedom (ETA)               ,0,0
Germany             ,1994,1,UnAssault                     ,TargetType,Citizens & Property  ,Civilian                                          ,Neo-Nazi extremists                               ,0,2
Germany             ,1994,1,Assault                       ,TargetType,Tourists                      ,Unknown                                           ,Neo-Nazi extremists                               ,0,6
Greece              ,1994,1,Assault                       ,TargetType,Business                      ,Entertainment                                     ,Anti-Fascist Action                               ,0,0
Greece              ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Unknown                                           ,Revolutionary Popular Left                        ,0,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Ulster Freedom Fighters (UFF)                     ,1,0
Greece              ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Unknown                                           ,Furious Rebellion                                 ,0,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Police                        ,Police Personnel                              ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1994,1,Assault                       ,TargetType,Military                      ,Military                                          ,Irish Republican Army (IRA)                       ,1,0
Cyprus              ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,Unknown                                           ,0,0
Germany             ,1994,1,Assault                       ,TargetType,Business                      ,Tourism                                           ,Neo-Nazi extremists                               ,0,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Ulster Volunteer Force (UVF)                      ,2,1
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Ulster Volunteer Force (UVF)                      ,2,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Iparretarrak (IK)                                 ,0,0
Greece              ,1994,1,Bombing/Explosion             ,TargetType,Business                      ,Corporation                                       ,November 17 Revolutionary Organization (N17RO)    ,0,0
United Kingdom      ,1994,1,Assault                       ,TargetType,Business                      ,Unknown                                           ,Protestant extremists                             ,2,1
Germany             ,1994,1,Unknown                       ,TargetType,Transportation                ,Bus                                               ,Neo-Nazi extremists                               ,0,2
Germany             ,1994,1,Assault                       ,TargetType,Business                      ,Tourism                                           ,Unknown                                           ,0,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Transportation                ,Road                                              ,Unknown                                           ,0,0
Germany             ,1994,1,Assault                       ,TargetType,Educational Institution       ,Educational Building                              ,Neo-Nazi extremists                               ,0,0
Ireland             ,1994,1,Bombing/Explosion             ,TargetType,Business                      ,Retail                                            ,Ulster Volunteer Force (UVF)                      ,1,0
Italy               ,1994,1,UnAssault                     ,TargetType,Government                    ,Politician                                        ,Unknown                                           ,0,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Military                      ,Military Personnel                                ,Irish Republican Army (IRA)                       ,1,0
Greece              ,1994,1,Assault                       ,TargetType,Business                      ,Corporation                                       ,Unknown                                           ,0,0
Italy               ,1994,1,Unknown                       ,TargetType,Government                    ,Politician                                        ,Neo-Nazi extremists                               ,0,2
Spain               ,1994,1,Assassination                 ,TargetType,Military                      ,Military Personnel                                ,Basque Fatherland and Freedom (ETA)               ,1,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Politician                                        ,Ulster Volunteer Force (UVF)                      ,0,4
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Military                      ,Military                                          ,Irish Republican Army (IRA)                       ,0,1
United Kingdom      ,1994,1,Assassination                 ,TargetType,Military                      ,Military Personnel                                ,Irish Republican Army (IRA)                       ,1,0
Italy               ,1994,0,Bombing/Explosion             ,TargetType,Business                      ,Bank                                              ,Unknown                                           ,0,1
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Business                      ,Bank                                              ,Unknown                                           ,0,0
United Kingdom      ,1994,0,Assassination                 ,TargetType,Journalists & Media           ,Newspaper                                         ,Unknown                                           ,0,0
France              ,1994,1,Unknown                       ,TargetType,Educational Institution       ,Educational Personnel                             ,Unknown                                           ,0,1
Spain               ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,Basque Fatherland and Freedom (ETA)               ,0,1
Spain               ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Civilian                                          ,Basque Fatherland and Freedom (ETA)               ,0,2
France              ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,Unknown                                           ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,Corsican National Liberation Front         ,0,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1994,1,Assassination                 ,TargetType,Military                      ,Military Personnel                                ,Basque Fatherland and Freedom (ETA)               ,1,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Utilities                     ,Electricity                                       ,Unknown                                           ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Telecommunication             ,Unknown                                           ,Unknown                                           ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Telecommunication             ,Unknown                                           ,Unknown                                           ,0,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Organization                                      ,Irish Republican Army (IRA)                       ,0,0
Cyprus              ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Unknown                                           ,2,0
United Kingdom      ,1994,0,Assassination                 ,TargetType,Business                      ,Industrial                                        ,Unknown                                           ,0,1
United Kingdom      ,1994,0,Assassination                 ,TargetType,Business                      ,Industrial                                        ,Unknown                                           ,0,1
United Kingdom      ,1994,0,Assassination                 ,TargetType,Business                      ,Industrial                                        ,Unknown                                           ,0,1
United Kingdom      ,1994,0,Assassination                 ,TargetType,Business                      ,Industrial                                        ,Unknown                                           ,0,0
Germany             ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Politician                                        ,Left-Wing Terrorists                              ,0,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Unknown                                           ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1994,0,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Basque Fatherland and Freedom (ETA)               ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Politician                                        ,Unknown                                           ,0,0
United Kingdom      ,1994,0,Bombing/Explosion             ,TargetType,Transportation                ,Train                                             ,Unknown                                           ,0,0
Greece              ,1994,0,Bombing/Explosion             ,TargetType,Government                    ,Embassy                                           ,Revolutionary People's Struggle (ELA)             ,0,0
Italy               ,1994,1,Assault                       ,TargetType,Religious,Religious Figure                                  ,Neo-Nazi extremists                               ,0,1
France              ,1994,1,Bombing/Explosion             ,TargetType,Business                      ,Medical                                           ,Unknown                                           ,0,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Protestant extremists                             ,1,0
United Kingdom      ,1994,0,Assault                       ,TargetType,Business                      ,Entertainment                                     ,Ulster Volunteer Force (UVF)                      ,0,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Military                      ,Military                                          ,Irish Republican Army (IRA)                       ,0,3
United Kingdom      ,1994,0,Facility/Infrastructure       ,TargetType,Business                      ,Retail                                            ,Irish Republican Army (IRA)                       ,0,0
Greece              ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Politician                                        ,Unknown                                           ,0,0
Hungary             ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,Unknown                                           ,0,0
United Kingdom      ,1994,1,Facility/Infrastructure       ,TargetType,Business                      ,Retail                                            ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Transportation                ,Train                                             ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1994,1,Assassination                 ,TargetType,Police                        ,Police Personnel                              ,Basque Fatherland and Freedom (ETA)               ,2,0
United Kingdom      ,1994,0,Bombing/Explosion             ,TargetType,Educational Institution       ,Educational Building                              ,Ulster Freedom Fighters (UFF)                     ,0,0
United Kingdom      ,1994,0,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,Ulster Freedom Fighters (UFF)                     ,0,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Irish National Liberation Army (INLA)             ,3,1
United Kingdom      ,1994,1,Assassination                 ,TargetType,Business                      ,Retail                                            ,Ulster Freedom Fighters (UFF)                     ,1,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Ulster Volunteer Force (UVF)                      ,1,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Police                        ,Police Personnel                              ,Unknown                                           ,0,0
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,House                                             ,Ulster Volunteer Force (UVF)                      ,1,0
Germany             ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Unknown                                           ,Neo-Nazi extremists                               ,0,0
Spain               ,1994,1,Bombing/Explosion             ,TargetType,Police                        ,Police Personnel                              ,Basque Fatherland and Freedom (ETA)               ,0,1
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Ulster Volunteer Force (UVF)                      ,6,5
France              ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,Corsican National Liberation Front         ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,Corsican National Liberation Front         ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,House                                             ,Corsican National Liberation Front         ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,House                                             ,Corsican National Liberation Front         ,0,0
Greece              ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Embassy                                           ,Revolutionary People's Struggle (ELA)             ,0,0
Italy               ,1994,1,Facility/Infrastructure       ,TargetType,Business                      ,Retail                                            ,Unknown                                           ,0,0
Italy               ,1994,1,Facility/Infrastructure       ,TargetType,Business                      ,Retail                                            ,Unknown                                           ,0,0
Italy               ,1994,1,Facility/Infrastructure       ,TargetType,Business                      ,Retail                                            ,Unknown                                           ,0,0
Italy               ,1994,1,Facility/Infrastructure       ,TargetType,Business                      ,Retail                                            ,Unknown                                           ,0,0
Italy               ,1994,1,Facility/Infrastructure       ,TargetType,Business                      ,Retail                                            ,Unknown                                           ,0,0
Italy               ,1994,1,Unknown                       ,TargetType,Business                      ,Retail                                            ,Unknown                                           ,0,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Military                      ,Military                                          ,Irish Republican Army (IRA)                       ,0,1
France              ,1994,1,Bombing/Explosion             ,TargetType,Police                        ,Police Personnel                              ,Corsican National Liberation Front         ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,House                                             ,Corsican National Liberation Front         ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,House                                             ,Corsican National Liberation Front         ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,House                                             ,Corsican National Liberation Front         ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,House                                             ,Corsican National Liberation Front         ,0,0
Greece              ,1994,1,Facility/Infrastructure       ,TargetType,Government                    ,Embassy                                           ,Kurdistan Workers' Party (PKK)                    ,0,0
Greece              ,1994,1,Assassination                 ,TargetType,Government                    ,Embassy                                           ,November 17 Revolutionary Organization (N17RO)    ,1,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,House                                             ,Unknown                                           ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,House                                             ,Unknown                                           ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,House                                             ,Unknown                                           ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,House                                             ,Unknown                                           ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,House                                             ,Corsican National Liberation Front         ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,House                                             ,Corsican National Liberation Front         ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,House                                             ,Corsican National Liberation Front         ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,House                                             ,Corsican National Liberation Front         ,0,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Military                      ,Military Personnel                                ,Irish Republican Army (IRA)                       ,0,2
United Kingdom      ,1994,0,Assassination                 ,TargetType,Business                      ,Retail                                            ,Unknown                                           ,0,1
Croatia             ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Organization                                      ,Unknown                                           ,0,0
Italy               ,1994,0,Bombing/Explosion             ,TargetType,Business                      ,Bank                                              ,Unknown                                           ,0,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Government                    ,Politician                                        ,Irish Republican Extremists                       ,0,0
Greece              ,1994,1,Bombing/Explosion             ,TargetType,Business                      ,Bank                                              ,Revolutionary People's Struggle (ELA)             ,0,0
Greece              ,1994,1,Bombing/Explosion             ,TargetType,Tourists                      ,Unknown                                           ,Unknown                                           ,0,2
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Politician                                        ,Irish Republican Army (IRA)                       ,1,0
Greece              ,1994,1,Bombing/Explosion             ,TargetType,Tourists                      ,Unknown                                           ,Unknown                                           ,0,1
Greece              ,1994,1,Bombing/Explosion             ,TargetType,Tourists                      ,Unknown                                           ,Unknown                                           ,0,5
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Military                      ,Military Personnel                                ,Irish Republican Army (IRA)                       ,0,0
Greece              ,1994,1,Assault                       ,TargetType,Tourists                      ,Unknown                                           ,Arsonists                                         ,0,0
United Kingdom      ,1994,1,Assault                       ,TargetType,Government                    ,Government Institutions                                        ,Irish Republican Army (IRA)                       ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Business                      ,Unknown                                           ,Corsican Farmers' Front                           ,0,0
Germany             ,1994,1,Assault                       ,TargetType,Business                      ,Bank                                              ,Unknown                                           ,0,0
United Kingdom      ,1994,1,Hostage Taking                ,TargetType,Unknown                       ,Unknown                                           ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1994,0,Assassination                 ,TargetType,Business                      ,Unknown                                           ,Ulster Freedom Fighters (UFF)                     ,0,1
United Kingdom      ,1994,1,Assault                       ,TargetType,Police                        ,Police Personnel                              ,Unknown                                           ,0,5
France              ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Unknown                                           ,1,8
France              ,1994,1,Unknown                       ,TargetType,Citizens & Property  ,Unknown                                           ,Youths                                            ,0,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Unknown                                           ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1994,1,Assault                       ,TargetType,Business                      ,Retail                                            ,Ulster Freedom Fighters (UFF)                     ,0,7
Italy               ,1994,0,Bombing/Explosion             ,TargetType,Government                    ,Organization                                      ,Unknown                                           ,0,0
United Kingdom      ,1994,0,Bombing/Explosion             ,TargetType,Unknown                       ,Unknown                                           ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Ulster Freedom Fighters (UFF)                     ,1,0
United Kingdom      ,1994,1,Facility/Infrastructure       ,TargetType,Business                      ,Retail                                            ,Unknown                                           ,0,0
United Kingdom      ,1994,1,Facility/Infrastructure       ,TargetType,Business                      ,Retail                                            ,Unknown                                           ,0,0
United Kingdom      ,1994,1,Facility/Infrastructure       ,TargetType,Business                      ,Retail                                            ,Unknown                                           ,0,0
United Kingdom      ,1994,1,Facility/Infrastructure       ,TargetType,Business                      ,Retail                                            ,Unknown                                           ,0,0
United Kingdom      ,1994,1,Facility/Infrastructure       ,TargetType,Business                      ,Retail                                            ,Unknown                                           ,0,0
Germany             ,1994,1,Facility/Infrastructure       ,TargetType,Citizens & Property  ,Monument                                          ,Neo-Nazi extremists                               ,0,0
Germany             ,1994,1,Assault                       ,TargetType,Business                      ,Retail                                            ,Kurdistan Workers' Party (PKK)                    ,0,3
Hungary             ,1994,1,Bombing/Explosion             ,TargetType,Religious,Place of Worship                                  ,Serbian Gangsters                                 ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Business                      ,Entertainment                                     ,Corsican National Liberation Front         ,0,2
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Embassy                                           ,Unknown                                           ,0,14
Spain               ,1994,1,Assassination                 ,TargetType,Business                      ,Unknown                                           ,Unknown                                           ,1,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Unknown                                           ,Unknown                                           ,0,5
Czech Republic      ,1994,1,Facility/Infrastructure       ,TargetType,Business                      ,Corporation                                       ,Unknown                                           ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,Corsican National Liberation Front         ,0,0
France              ,1994,1,Bombing/Explosion             ,TargetType,Government                    ,Government Institutions                                        ,Iparretarrak (IK)                                 ,0,0
Spain               ,1994,1,Bombing/Explosion             ,TargetType,Military                      ,Military Personnel                                ,Basque Fatherland and Freedom (ETA)               ,3,14
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Army (IRA)                       ,0,28
United Kingdom      ,1994,1,Assassination                 ,TargetType,Terrorists                    ,Unknown                                           ,Irish Republican Army (IRA)                       ,2,0
Estonia             ,1994,1,Bombing/Explosion             ,TargetType,Unknown                       ,Unknown                                           ,Unknown                                           ,0,0
Estonia             ,1994,1,Bombing/Explosion             ,TargetType,Unknown                       ,Unknown                                           ,Unknown                                           ,0,0
Estonia             ,1994,1,Bombing/Explosion             ,TargetType,Unknown                       ,Unknown                                           ,Unknown                                           ,0,0
Estonia             ,1994,1,Bombing/Explosion             ,TargetType,Unknown                       ,Unknown                                           ,Unknown                                           ,0,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Military                      ,Military                                          ,Irish Republican Army (IRA)                       ,0,3
United Kingdom      ,1994,1,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Protestant extremists                             ,0,0
United Kingdom      ,1994,0,Assault                       ,TargetType,Citizens & Property  ,Civilian                                          ,Protestant extremists                             ,0,0
United Kingdom      ,1994,0,Assault                       ,TargetType,Citizens & Property  ,Unknown                                           ,Protestant extremists                             ,0,0
Germany             ,1994,1,Facility/Infrastructure       ,TargetType,Citizens & Property  ,Unknown                                           ,Unknown                                           ,0,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Ulster Volunteer Force (UVF)                      ,1,0
United Kingdom      ,1994,1,Bombing/Explosion             ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Army (IRA)                       ,0,2
United Kingdom      ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Ulster Volunteer Force (UVF)                      ,1,0
Greece              ,1994,1,Bombing/Explosion             ,TargetType,Business                      ,Unknown                                           ,Unknown                                           ,0,0
Greece              ,1994,1,Bombing/Explosion             ,TargetType,Business                      ,Unknown                                           ,Unknown                                           ,0,0
Greece              ,1994,1,Bombing/Explosion             ,TargetType,Citizens & Property  ,Unknown                                           ,Unknown                                           ,0,0
United Kingdom      ,1994,1,Assassination                 ,TargetType,Business                      ,Retail                                            ,Irish Republican Army (IRA)                       ,1,0
Germany             ,1994,1,Facility/Infrastructure       ,TargetType,Religious,Place of Worship                                  ,Kurdistan Workers' Party (PKK)                    ,0,0
Spain               ,1994,1,Assassination                 ,TargetType,Citizens & Property  ,Civilian                                          ,Basque Fatherland and Freedom (ETA)               ,1,0
United Kingdom      ,1994,1,Facility/Infrastructure       ,TargetType,Police                        ,Police Organizations                                            ,Irish Republican Extremists                       ,0,0
